
Gurobi 13.0.2 (linux64) logging started Tue Aug 11 11:47:49 2026

Set parameter LogFile to value "/home/23037696r/Documents/research/or_benchmark/wp/results/inactive_0.2/j20/logs/gurobi/j200802_9.log"
Set parameter NumericFocus to value 1
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel Xeon Processor (Cascadelake), instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 46 physical cores, 46 logical processors, using up to 4 threads

Non-default parameters:
TimeLimit  13800
MIPGap  1e-06
NumericFocus  1
Threads  4

Optimize a model with 11244 rows, 7664 columns and 41064 nonzeros (Min)
Model fingerprint: 0xf9b55eb3
Model has 4808 linear objective coefficients and an objective constant of 3.5895808394417065e+02
Variable types: 1776 continuous, 5888 integer (5784 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [1e-02, 8e+02]
  Bounds range     [1e+00, 2e+02]
  RHS range        [1e+00, 2e+02]

Presolve removed 8628 rows and 4206 columns
Presolve time: 0.53s
Presolved: 2616 rows, 3458 columns, 18642 nonzeros
Variable types: 0 continuous, 3458 integer (2234 binary)
Found heuristic solution: objective 2069.0810868

Root relaxation: objective 1.430281e+03, 1050 iterations, 0.05 seconds (0.05 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1430.28091    0   35 2069.08109 1430.28091  30.9%     -    0s
     0     0 1433.95408    0   37 2069.08109 1433.95408  30.7%     -    0s
H    0     0                    1557.4016718 1433.95408  7.93%     -    0s
H    0     0                    1555.1161983 1433.95408  7.79%     -    0s
     0     0 1441.21961    0   74 1555.11620 1441.21961  7.32%     -    0s
     0     0 1441.21981    0   75 1555.11620 1441.21981  7.32%     -    1s
     0     0 1445.98773    0  145 1555.11620 1445.98773  7.02%     -    1s
     0     0 1446.07294    0  178 1555.11620 1446.07294  7.01%     -    1s
     0     0 1446.07675    0  181 1555.11620 1446.07675  7.01%     -    1s
     0     0 1446.07823    0  181 1555.11620 1446.07823  7.01%     -    1s
     0     0 1449.99846    0  140 1555.11620 1449.99846  6.76%     -    1s
H    0     0                    1555.0553860 1451.85342  6.64%     -    1s
H    0     0                    1554.6901930 1451.85342  6.61%     -    1s
H    0     0                    1554.5073909 1451.85342  6.60%     -    1s
     0     0 1451.85342    0  137 1554.50739 1451.85342  6.60%     -    1s
     0     0 1452.14519    0  143 1554.50739 1452.14519  6.58%     -    1s
     0     0 1452.16254    0  143 1554.50739 1452.16254  6.58%     -    1s
     0     0 1452.18502    0  143 1554.50739 1452.18502  6.58%     -    1s
     0     0 1452.18520    0  143 1554.50739 1452.18520  6.58%     -    1s
     0     0 1453.74748    0  180 1554.50739 1453.74748  6.48%     -    2s
     0     0 1453.75396    0  149 1554.50739 1453.75396  6.48%     -    2s
     0     0 1453.75820    0  150 1554.50739 1453.75820  6.48%     -    2s
     0     0 1454.76144    0  154 1554.50739 1454.76144  6.42%     -    2s
     0     0 1454.84691    0  150 1554.50739 1454.84691  6.41%     -    2s
     0     0 1455.02180    0  146 1554.50739 1455.02180  6.40%     -    2s
     0     0 1455.76607    0  145 1554.50739 1455.76607  6.35%     -    2s
     0     0 1455.94459    0  156 1554.50739 1455.94459  6.34%     -    2s
     0     0 1455.94502    0  159 1554.50739 1455.94502  6.34%     -    2s
     0     0 1456.99018    0  160 1554.50739 1456.99018  6.27%     -    2s
     0     0 1457.84493    0  159 1554.50739 1457.84493  6.22%     -    2s
     0     0 1457.86460    0  169 1554.50739 1457.86460  6.22%     -    2s
     0     0 1457.87236    0  177 1554.50739 1457.87236  6.22%     -    2s
     0     0 1458.08724    0  177 1554.50739 1458.08724  6.20%     -    3s
     0     0 1458.24818    0  170 1554.50739 1458.24818  6.19%     -    3s
     0     0 1458.26324    0  174 1554.50739 1458.26324  6.19%     -    3s
     0     0 1458.27409    0  180 1554.50739 1458.27409  6.19%     -    3s
     0     0 1458.28401    0  184 1554.50739 1458.28401  6.19%     -    3s
     0     0 1458.31655    0  183 1554.50739 1458.31655  6.19%     -    3s
     0     0 1458.33574    0  189 1554.50739 1458.33574  6.19%     -    3s
     0     0 1458.33616    0  191 1554.50739 1458.33616  6.19%     -    3s
     0     0 1459.61717    0  253 1554.50739 1459.61717  6.10%     -    3s
     0     0 1459.62148    0  253 1554.50739 1459.62148  6.10%     -    3s
     0     0 1460.55005    0  268 1554.50739 1460.55005  6.04%     -    3s
     0     0 1460.74433    0  268 1554.50739 1460.74433  6.03%     -    3s
     0     0 1460.98648    0  275 1554.50739 1460.98648  6.02%     -    3s
     0     0 1461.05330    0  274 1554.50739 1461.05330  6.01%     -    3s
     0     0 1461.05330    0  275 1554.50739 1461.05330  6.01%     -    3s
     0     0 1462.75900    0  274 1554.50739 1462.75900  5.90%     -    3s
     0     0 1462.75914    0  272 1554.50739 1462.75914  5.90%     -    3s
     0     0 1462.94269    0  280 1554.50739 1462.94269  5.89%     -    3s
     0     0 1462.98783    0  284 1554.50739 1462.98783  5.89%     -    3s
