
Gurobi 13.0.2 (linux64) logging started Fri Aug 14 22:47:20 2026

Set parameter LogFile to value "/home/23037696r/Documents/research/or_benchmark/wp/results/inactive_0.3/j40/logs/gurobi/j400903_1.log"
Set parameter NumericFocus to value 1
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel Xeon Processor (Cascadelake), instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 46 physical cores, 46 logical processors, using up to 2 threads

Non-default parameters:
TimeLimit  13800
MIPGap  1e-06
NumericFocus  1
Threads  2

Optimize a model with 42664 rows, 25690 columns and 155702 nonzeros (Min)
Model fingerprint: 0x3152d2af
Model has 16080 linear objective coefficients and an objective constant of 1.1698057785728456e+03
Variable types: 6384 continuous, 19306 integer (19110 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [1e-02, 1e+03]
  Bounds range     [1e+00, 2e+02]
  RHS range        [1e+00, 2e+02]

Presolve removed 14437 rows and 7797 columns (presolve time = 5s)...
Presolve removed 31030 rows and 12919 columns (presolve time = 10s)...
Presolve removed 31078 rows and 15606 columns (presolve time = 16s)...
Presolve removed 33642 rows and 17560 columns
Presolve time: 20.02s
Presolved: 9022 rows, 8130 columns, 51789 nonzeros
Variable types: 0 continuous, 8130 integer (5394 binary)
Found heuristic solution: objective 4341.6516495

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    1.7571551e+03   2.400625e+03   0.000000e+00     21s
    2285    2.9605553e+03   0.000000e+00   0.000000e+00     21s

Root relaxation: objective 2.960555e+03, 2285 iterations, 0.65 seconds (0.12 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2960.55531    0  128 4341.65165 2960.55531  31.8%     -   21s
     0     0 2969.94809    0  125 4341.65165 2969.94809  31.6%     -   22s
H    0     0                    3381.6665127 2969.94809  12.2%     -   22s
H    0     0                    3377.3988011 2969.94809  12.1%     -   22s
     0     0 2983.96776    0  268 3377.39880 2983.96776  11.6%     -   24s
     0     0 2984.76052    0  330 3377.39880 2984.76052  11.6%     -   25s
     0     0 2985.83384    0  350 3377.39880 2985.83384  11.6%     -   26s
     0     0 2985.83394    0  358 3377.39880 2985.83394  11.6%     -   26s
     0     0 2999.18824    0  281 3377.39880 2999.18824  11.2%     -   29s
     0     0 3003.84628    0  268 3377.39880 3003.84628  11.1%     -   30s
     0     0 3004.71146    0  265 3377.39880 3004.71146  11.0%     -   30s
     0     0 3004.87253    0  274 3377.39880 3004.87253  11.0%     -   31s
     0     0 3004.90454    0  265 3377.39880 3004.90454  11.0%     -   31s
     0     0 3004.90454    0  265 3377.39880 3004.90454  11.0%     -   31s
     0     0 3051.62993    0  342 3377.39880 3051.62993  9.65%     -   34s
     0     0 3052.90358    0  311 3377.39880 3052.90358  9.61%     -   35s
     0     0 3054.21802    0  310 3377.39880 3054.21802  9.57%     -   36s
     0     0 3054.25862    0  308 3377.39880 3054.25862  9.57%     -   36s
     0     0 3054.28791    0  310 3377.39880 3054.28791  9.57%     -   36s
     0     0 3054.29158    0  313 3377.39880 3054.29158  9.57%     -   37s
     0     0 3071.44784    0  326 3377.39880 3071.44784  9.06%     -   40s
     0     0 3072.74843    0  326 3377.39880 3072.74843  9.02%     -   41s
     0     0 3072.75816    0  331 3377.39880 3072.75816  9.02%     -   42s
     0     0 3075.15657    0  415 3377.39880 3075.15657  8.95%     -   44s
     0     0 3075.15657    0  356 3377.39880 3075.15657  8.95%     -   44s
     0     0 3109.18414    0  308 3377.39880 3109.18414  7.94%     -   46s
     0     0 3109.18414    0  135 3377.39880 3109.18414  7.94%     -   58s
     0     0 3109.18414    0  158 3377.39880 3109.18414  7.94%     -   59s
     0     0 3109.18414    0  382 3377.39880 3109.18414  7.94%     -   63s
     0     0 3120.99177    0  435 3377.39880 3120.99177  7.59%     -   66s
     0     0 3123.81557    0  473 3377.39880 3123.81557  7.51%     -   67s
     0     0 3124.46073    0  467 3377.39880 3124.46073  7.49%     -   68s
     0     0 3124.61207    0  478 3377.39880 3124.61207  7.48%     -   70s
     0     0 3124.70692    0  476 3377.39880 3124.70692  7.48%     -   71s
     0     0 3124.72346    0  473 3377.39880 3124.72346  7.48%     -   72s
     0     0 3128.72201    0  510 3377.39880 3128.72201  7.36%     -   75s
     0     0 3129.08767    0  477 3377.39880 3129.08767  7.35%     -   77s
     0     0 3129.15071    0  467 3377.39880 3129.15071  7.35%     -   78s
     0     0 3129.15577    0  473 3377.39880 3129.15577  7.35%     -   79s
     0     0 3130.42796    0  513 3377.39880 3130.42796  7.31%     -   83s
     0     0 3130.58333    0  496 3377.39880 3130.58333  7.31%     -   84s
     0     0 3130.60585    0  493 3377.39880 3130.60585  7.31%     -   85s
     0     0 3131.76890    0  553 3377.39880 3131.76890  7.27%     -   89s
     0     0 3131.92320    0  531 3377.39880 3131.92320  7.27%     -   91s
     0     0 3131.96611    0  528 3377.39880 3131.96611  7.27%     -   92s
