Slurm job ID    : 1981
Array task ID   : 0
Host            : 23037696r-i7809a0b3cd
Start time      : 2026-08-13T11:19:45+08:00
Instance        : /home/23037696r/Documents/research/or_benchmark/wp/instances/inactive_0.2/j40/j400702_7.sm
Output JSON     : /home/23037696r/Documents/research/or_benchmark/wp/results/inactive_0.2/j40/j400702_7.json
Gurobi log      : /home/23037696r/Documents/research/or_benchmark/wp/results/inactive_0.2/j40/logs/gurobi/j400702_7.log
Allocated CPUs  : 2
Running with command-line arguments
-----------------------------------
Instance file: /home/23037696r/Documents/research/or_benchmark/wp/instances/inactive_0.2/j40/j400702_7.sm
Instance summary
----------------
Tasks:          42
Active tasks:   32
Inactive tasks: 10
Arcs:           53
Total duration: 258
Total work:     380
Active work:    315
Delta (singleton critical-path makespan): 182
Chosen deadline: 201
Feasible by singleton schedule: yes
Deadline rule: automatic: d = ceil(1.1 * Delta) = 201
Set parameter Username
Set parameter LicenseID to value 2851961
Academic license - for non-commercial use only - expires 2027-08-07
Set parameter MIPGap to value 1e-06
Set parameter TimeLimit to value 13800
Set parameter Threads to value 2
Set parameter LogFile to value "/home/23037696r/Documents/research/or_benchmark/wp/results/inactive_0.2/j40/logs/gurobi/j400702_7.log"
Set parameter NumericFocus to value 1
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel Xeon Processor (Cascadelake), instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 46 physical cores, 46 logical processors, using up to 2 threads

Non-default parameters:
TimeLimit  13800
MIPGap  1e-06
NumericFocus  1
Threads  2

Optimize a model with 51669 rows, 28038 columns and 191401 nonzeros (Min)
Model fingerprint: 0xb6ee1591
Model has 18152 linear objective coefficients and an objective constant of 7.5396921270625194e+02
Variable types: 6464 continuous, 21574 integer (21374 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [1e-02, 2e+03]
  Bounds range     [1e+00, 3e+02]
  RHS range        [1e+00, 3e+02]

Presolve removed 38420 rows and 9092 columns (presolve time = 5s)...
Presolve removed 39267 rows and 10248 columns (presolve time = 10s)...
Presolve removed 39271 rows and 10240 columns
Presolve time: 14.79s
Presolved: 12398 rows, 17798 columns, 96802 nonzeros
Variable types: 0 continuous, 17798 integer (11614 binary)
Found heuristic solution: objective 4469.8282881

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    1.0539692e+03   6.028125e+02   0.000000e+00     16s
    3435    2.6749548e+03   0.000000e+00   0.000000e+00     18s

Root relaxation: objective 2.674955e+03, 3435 iterations, 1.84 seconds (0.28 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2674.95479    0   96 4469.82829 2674.95479  40.2%     -   19s
     0     0 2675.21239    0  113 4469.82829 2675.21239  40.1%     -   20s
H    0     0                    4371.3217064 2675.21239  38.8%     -   20s
     0     0 2713.33012    0  113 4371.32171 2713.33012  37.9%     -   23s
     0     0 2713.35974    0  109 4371.32171 2713.35974  37.9%     -   23s
H    0     0                    4305.2323453 2713.36026  37.0%     -   24s
     0     0 2713.44206    0  111 4305.23235 2713.44206  37.0%     -   24s
     0     0 2725.90094    0  213 4305.23235 2725.90094  36.7%     -   27s
     0     0 2725.91915    0  214 4305.23235 2725.91915  36.7%     -   28s
     0     0 2725.96185    0  238 4305.23235 2725.96185  36.7%     -   28s
     0     0 2725.99283    0  239 4305.23235 2725.99283  36.7%     -   28s
     0     0 2726.01402    0  236 4305.23235 2726.01402  36.7%     -   29s
     0     0 2726.03380    0  234 4305.23235 2726.03380  36.7%     -   29s
     0     0 2726.04618    0  233 4305.23235 2726.04618  36.7%     -   29s
     0     0 2726.05816    0  234 4305.23235 2726.05816  36.7%     -   29s
     0     0 2726.06614    0  232 4305.23235 2726.06614  36.7%     -   29s
     0     0 2726.07318    0  234 4305.23235 2726.07318  36.7%     -   30s
     0     0 2726.07662    0  235 4305.23235 2726.07662  36.7%     -   30s
     0     0 2726.24321    0  232 4305.23235 2726.24321  36.7%     -   31s
     0     0 2726.24429    0  232 4305.23235 2726.24429  36.7%     -   31s
     0     0 2726.24554    0  232 4305.23235 2726.24554  36.7%     -   31s
     0     0 2726.24670    0  232 4305.23235 2726.24670  36.7%     -   31s
     0     0 2726.24785    0  232 4305.23235 2726.24785  36.7%     -   31s
     0     0 2726.24889    0  232 4305.23235 2726.24889  36.7%     -   31s
     0     0 2726.24975    0  232 4305.23235 2726.24975  36.7%     -   31s
     0     0 2726.25113    0  232 4305.23235 2726.25113  36.7%     -   31s
     0     0 2726.25214    0  232 4305.23235 2726.25214  36.7%     -   32s
     0     0 2726.25571    0  234 4305.23235 2726.25571  36.7%     -   32s
     0     0 2726.25937    0  234 4305.23235 2726.25937  36.7%     -   32s
     0     0 2726.30859    0  235 4305.23235 2726.30859  36.7%     -   32s
     0     0 2726.31212    0  235 4305.23235 2726.31212  36.7%     -   32s
     0     0 2726.31544    0  234 4305.23235 2726.31544  36.7%     -   33s
     0     0 2726.31756    0  234 4305.23235 2726.31756  36.7%     -   33s
     0     0 2726.31959    0  234 4305.23235 2726.31959  36.7%     -   33s
     0     0 2726.32154    0  234 4305.23235 2726.32154  36.7%     -   33s
