
Gurobi 13.0.2 (linux64) logging started Thu Aug 13 22:52:35 2026

Set parameter LogFile to value "/home/23037696r/Documents/research/or_benchmark/wp/results/inactive_0.3/j30/logs/gurobi/j300103_4.log"
Set parameter NumericFocus to value 1
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel Xeon Processor (Cascadelake), instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 46 physical cores, 46 logical processors, using up to 2 threads

Non-default parameters:
TimeLimit  13800
MIPGap  1e-06
NumericFocus  1
Threads  2

Optimize a model with 16029 rows, 6983 columns and 58314 nonzeros (Min)
Model fingerprint: 0xa7532a63
Model has 4683 linear objective coefficients and an objective constant of 8.3917599089641828e+02
Variable types: 609 continuous, 6374 integer (6225 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [1e-02, 9e+02]
  Bounds range     [1e+00, 2e+02]
  RHS range        [1e+00, 2e+02]

Presolve removed 12490 rows and 3707 columns
Presolve time: 1.94s
Presolved: 3539 rows, 3276 columns, 34370 nonzeros
Variable types: 0 continuous, 3276 integer (2694 binary)
Found heuristic solution: objective 2883.1731763

Root relaxation: objective 1.860747e+03, 1674 iterations, 0.15 seconds (0.12 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1860.74711    0  168 2883.17318 1860.74711  35.5%     -    2s
H    0     0                    2882.9740245 1860.74711  35.5%     -    2s
     0     0 1867.19473    0  114 2882.97402 1867.19473  35.2%     -    2s
H    0     0                    2879.5127442 1867.19529  35.2%     -    2s
H    0     0                    2879.4753612 1867.19529  35.2%     -    2s
     0     0 1867.92100    0  115 2879.47536 1867.92100  35.1%     -    2s
     0     0 1879.85171    0  115 2879.47536 1879.85171  34.7%     -    3s
H    0     0                    1897.8671596 1879.85227  0.95%     -    3s
     0     0 1880.78138    0  116 1897.86716 1880.78138  0.90%     -    3s
     0     0 1880.78138    0  116 1897.86716 1880.78138  0.90%     -    3s
     0     0 1881.80253    0  122 1897.86716 1881.80253  0.85%     -    3s
     0     0 1881.80253    0  111 1897.86716 1881.80253  0.85%     -    4s
     0     0 1887.05949    0   98 1897.86716 1887.05949  0.57%     -    4s
     0     0 1887.27944    0  101 1897.86716 1887.27944  0.56%     -    4s
     0     0 1887.27945    0  101 1897.86716 1887.27945  0.56%     -    4s
     0     0 1888.10603    0   98 1897.86716 1888.10603  0.51%     -    4s
     0     0 1888.33412    0  126 1897.86716 1888.33412  0.50%     -    4s
     0     0 1888.34475    0  123 1897.86716 1888.34475  0.50%     -    4s
     0     0 1888.35346    0  123 1897.86716 1888.35346  0.50%     -    4s
     0     0 1888.35752    0  100 1897.86716 1888.35752  0.50%     -    4s
     0     0 1888.35755    0  102 1897.86716 1888.35755  0.50%     -    4s
     0     0 1888.35755    0  101 1897.86716 1888.35755  0.50%     -    4s
     0     0 1891.45209    0  116 1897.86716 1891.45209  0.34%     -    4s
     0     0 1891.77883    0  114 1897.86716 1891.77883  0.32%     -    4s
     0     0 1892.09621    0  110 1897.86716 1892.09621  0.30%     -    4s
     0     0 1892.09913    0  110 1897.86716 1892.09913  0.30%     -    4s
     0     0 1892.10297    0  110 1897.86716 1892.10297  0.30%     -    4s
     0     0 1892.10770    0  110 1897.86716 1892.10770  0.30%     -    4s
     0     0 1892.11329    0  110 1897.86716 1892.11329  0.30%     -    4s
     0     0 1892.11971    0  110 1897.86716 1892.11971  0.30%     -    4s
     0     0 1892.12147    0  110 1897.86716 1892.12147  0.30%     -    4s
     0     0 1892.24065    0  110 1897.86716 1892.24065  0.30%     -    4s
     0     0 1892.35054    0  110 1897.86716 1892.35054  0.29%     -    4s
     0     0 1892.65077    0  109 1897.86716 1892.65077  0.27%     -    4s
     0     0 1892.77134    0  107 1897.86716 1892.77134  0.27%     -    4s
     0     0 1892.78084    0  107 1897.86716 1892.78084  0.27%     -    4s
     0     0 1892.80727    0  106 1897.86716 1892.80727  0.27%     -    4s
     0     0 1892.81683    0  106 1897.86716 1892.81683  0.27%     -    4s
     0     0 1892.82698    0  108 1897.86716 1892.82698  0.27%     -    4s
     0     0 1892.83795    0  108 1897.86716 1892.83795  0.26%     -    4s
     0     0 1892.84987    0  108 1897.86716 1892.84987  0.26%     -    4s
     0     0 1892.86276    0  108 1897.86716 1892.86276  0.26%     -    4s
     0     0 1892.87631    0  106 1897.86716 1892.87631  0.26%     -    4s
     0     0 1892.89078    0  106 1897.86716 1892.89078  0.26%     -    4s
     0     0 1892.89078    0  107 1897.86716 1892.89078  0.26%     -    4s
     0     0 1892.90637    0  107 1897.86716 1892.90637  0.26%     -    4s
     0     0 1892.92267    0  107 1897.86716 1892.92267  0.26%     -    4s
     0     0 1892.93698    0  108 1897.86716 1892.93698  0.26%     -    4s
     0     0 1892.95833    0  105 1897.86716 1892.95833  0.26%     -    4s
     0     0 1892.97712    0  105 1897.86716 1892.97712  0.26%     -    4s
     0     0 1892.99679    0  105 1897.86716 1892.99679  0.26%     -    4s
