
Gurobi 13.0.2 (linux64) logging started Thu Aug 13 23:29:21 2026

Set parameter LogFile to value "/home/23037696r/Documents/research/or_benchmark/wp/results/inactive_0.3/j30/logs/gurobi/j300803_3.log"
Set parameter NumericFocus to value 1
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel Xeon Processor (Cascadelake), instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 46 physical cores, 46 logical processors, using up to 2 threads

Non-default parameters:
TimeLimit  13800
MIPGap  1e-06
NumericFocus  1
Threads  2

Optimize a model with 20258 rows, 12106 columns and 73177 nonzeros (Min)
Model fingerprint: 0xa968b6c5
Model has 7437 linear objective coefficients and an objective constant of 7.8998624427216043e+02
Variable types: 2772 continuous, 9334 integer (9185 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [1e-02, 8e+02]
  Bounds range     [1e+00, 2e+02]
  RHS range        [1e+00, 2e+02]

Presolve removed 14574 rows and 4615 columns (presolve time = 5s)...
Presolve removed 14575 rows and 4605 columns
Presolve time: 6.38s
Presolved: 5683 rows, 7501 columns, 40188 nonzeros
Variable types: 0 continuous, 7501 integer (4896 binary)
Found heuristic solution: objective 2851.7375545

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    1.0399862e+03   4.433750e+02   0.000000e+00      7s
    1623    1.8981613e+03   0.000000e+00   0.000000e+00      7s

Root relaxation: objective 1.898161e+03, 1623 iterations, 0.18 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1898.16133    0   53 2851.73755 1898.16133  33.4%     -    7s
     0     0 1902.48230    0   86 2851.73755 1902.48230  33.3%     -    7s
H    0     0                    2064.9739542 1902.48230  7.87%     -    7s
H    0     0                    2054.6874045 1902.48230  7.41%     -    7s
H    0     0                    2045.8394369 1902.48230  7.01%     -    7s
     0     0 1915.16420    0  107 2045.83944 1915.16420  6.39%     -    9s
     0     0 1916.07781    0  107 2045.83944 1916.07781  6.34%     -    9s
     0     0 1916.27409    0  121 2045.83944 1916.27409  6.33%     -    9s
     0     0 1916.35639    0  124 2045.83944 1916.35639  6.33%     -   10s
     0     0 1916.35639    0  126 2045.83944 1916.35639  6.33%     -   10s
     0     0 1927.54637    0  115 2045.83944 1927.54637  5.78%     -   11s
     0     0 1929.34095    0  161 2045.83944 1929.34095  5.69%     -   12s
     0     0 1929.40429    0  162 2045.83944 1929.40429  5.69%     -   12s
     0     0 1929.40429    0  162 2045.83944 1929.40429  5.69%     -   13s
     0     0 1934.53907    0  172 2045.83944 1934.53907  5.44%     -   14s
H    0     0                    2045.0512454 1934.54535  5.40%     -   14s
     0     0 1934.73123    0  178 2045.05125 1934.73123  5.39%     -   14s
     0     0 1934.90292    0  162 2045.05125 1934.90292  5.39%     -   15s
     0     0 1934.90902    0  164 2045.05125 1934.90902  5.39%     -   15s
     0     0 1935.84549    0  186 2045.05125 1935.84549  5.34%     -   16s
     0     0 1935.84793    0  183 2045.05125 1935.84793  5.34%     -   16s
     0     0 1935.91217    0  192 2045.05125 1935.91217  5.34%     -   17s
     0     0 1935.91254    0  188 2045.05125 1935.91254  5.34%     -   17s
     0     0 1936.84187    0  169 2045.05125 1936.84187  5.29%     -   18s
     0     0 1936.88488    0  171 2045.05125 1936.88488  5.29%     -   18s
     0     0 1936.92810    0  171 2045.05125 1936.92810  5.29%     -   18s
     0     0 1936.92935    0  171 2045.05125 1936.92935  5.29%     -   18s
     0     0 1936.93060    0  171 2045.05125 1936.93060  5.29%     -   18s
     0     0 1936.93185    0  171 2045.05125 1936.93185  5.29%     -   19s
     0     0 1936.93310    0  171 2045.05125 1936.93310  5.29%     -   19s
     0     0 1936.93435    0  171 2045.05125 1936.93435  5.29%     -   19s
     0     0 1936.93560    0  171 2045.05125 1936.93560  5.29%     -   19s
     0     0 1936.93685    0  171 2045.05125 1936.93685  5.29%     -   19s
     0     0 1936.93813    0  171 2045.05125 1936.93813  5.29%     -   19s
H    0     0                    2044.9906305 1936.93890  5.28%     -   20s
     0     0 1937.02794    0  191 2044.99063 1937.02794  5.28%     -   20s
     0     0 1937.03015    0  190 2044.99063 1937.03015  5.28%     -   20s
     0     0 1937.03129    0  190 2044.99063 1937.03129  5.28%     -   20s
     0     0 1937.03242    0  190 2044.99063 1937.03242  5.28%     -   20s
     0     0 1937.03355    0  190 2044.99063 1937.03355  5.28%     -   20s
     0     0 1937.03468    0  190 2044.99063 1937.03468  5.28%     -   20s
     0     0 1937.03581    0  190 2044.99063 1937.03581  5.28%     -   20s
     0     0 1937.03694    0  190 2044.99063 1937.03694  5.28%     -   20s
     0     0 1937.03807    0  190 2044.99063 1937.03807  5.28%     -   20s
     0     0 1937.03920    0  190 2044.99063 1937.03920  5.28%     -   20s
     0     0 1937.04033    0  190 2044.99063 1937.04033  5.28%     -   20s
     0     0 1937.04292    0  197 2044.99063 1937.04292  5.28%     -   21s
     0     0 1937.04500    0  195 2044.99063 1937.04500  5.28%     -   21s
