
Gurobi 13.0.2 (linux64) logging started Sat Aug 15 07:50:23 2026

Set parameter LogFile to value "/home/23037696r/Documents/research/or_benchmark/wp/results/inactive_0.4/j40/logs/gurobi/j400204_8.log"
Set parameter NumericFocus to value 1
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel Xeon Processor (Cascadelake), instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 46 physical cores, 46 logical processors, using up to 2 threads

Non-default parameters:
TimeLimit  13800
MIPGap  1e-06
NumericFocus  1
Threads  2

Optimize a model with 37987 rows, 11652 columns and 128850 nonzeros (Min)
Model fingerprint: 0x486275e9
Model has 7512 linear objective coefficients and an objective constant of 1.5009860743141942e+03
Variable types: 1464 continuous, 10188 integer (9996 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [1e-02, 1e+03]
  Bounds range     [1e+00, 2e+02]
  RHS range        [1e+00, 2e+02]

Presolve removed 27166 rows and 6102 columns (presolve time = 5s)...
Presolve removed 27204 rows and 6381 columns (presolve time = 10s)...
Presolve removed 27226 rows and 6338 columns
Presolve time: 14.73s
Presolved: 10761 rows, 5314 columns, 91964 nonzeros
Variable types: 0 continuous, 5314 integer (4103 binary)
Found heuristic solution: objective 3971.6682560

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    1.7182286e+03   2.760000e+02   0.000000e+00     16s
    2860    2.7746960e+03   0.000000e+00   0.000000e+00     19s

Root relaxation: objective 2.774696e+03, 2860 iterations, 3.23 seconds (0.25 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2774.69599    0   81 3971.66826 2774.69599  30.1%     -   20s
     0     0 2776.90445    0  107 3971.66826 2776.90445  30.1%     -   20s
H    0     0                    3971.5189295 2776.90445  30.1%     -   21s
     0     0 2777.92951    0  137 3971.51893 2777.92951  30.1%     -   22s
H    0     0                    3964.7500446 2777.93540  29.9%     -   23s
     0     0 2777.99895    0  111 3964.75004 2777.99895  29.9%     -   23s
     0     0 2777.99895    0  121 3964.75004 2777.99895  29.9%     -   24s
     0     0 2778.84949    0  131 3964.75004 2778.84949  29.9%     -   26s
     0     0 2779.21912    0  227 3964.75004 2779.21912  29.9%     -   28s
     0     0 2779.23728    0  356 3964.75004 2779.23728  29.9%     -   29s
     0     0 2779.33080    0  232 3964.75004 2779.33080  29.9%     -   29s
     0     0 2779.34343    0  237 3964.75004 2779.34343  29.9%     -   30s
     0     0 2779.35604    0  238 3964.75004 2779.35604  29.9%     -   30s
     0     0 2779.35636    0  240 3964.75004 2779.35636  29.9%     -   31s
     0     0 2782.42057    0  470 3964.75004 2782.42057  29.8%     -   34s
     0     0 2782.43843    0  465 3964.75004 2782.43843  29.8%     -   34s
     0     0 2783.49791    0  463 3964.75004 2783.49791  29.8%     -   36s
     0     0 2783.52992    0  462 3964.75004 2783.52992  29.8%     -   37s
     0     0 2783.53183    0  464 3964.75004 2783.53183  29.8%     -   37s
     0     0 2783.53265    0  469 3964.75004 2783.53265  29.8%     -   38s
     0     0 2783.53265    0  470 3964.75004 2783.53265  29.8%     -   38s
     0     0 2785.09154    0  239 3964.75004 2785.09154  29.8%     -   40s
     0     0 2785.38667    0  241 3964.75004 2785.38667  29.7%     -   41s
     0     0 2785.41125    0  242 3964.75004 2785.41125  29.7%     -   42s
     0     0 2785.42701    0  244 3964.75004 2785.42701  29.7%     -   42s
     0     0 2785.42701    0  249 3964.75004 2785.42701  29.7%     -   43s
     0     0 2786.03896    0  248 3964.75004 2786.03896  29.7%     -   45s
     0     0 2786.06247    0  243 3964.75004 2786.06247  29.7%     -   46s
     0     0 2786.06346    0  246 3964.75004 2786.06346  29.7%     -   46s
     0     0 2786.20718    0  237 3964.75004 2786.20718  29.7%     -   48s
H    0     0                    3962.7916840 2786.20756  29.7%     -   49s
H    0     0                    3960.7662900 2786.20756  29.7%     -   49s
H    0     0                    3960.5683790 2786.20756  29.7%     -   49s
     0     0 2786.21220    0  250 3960.56838 2786.21220  29.7%     -   49s
     0     0 2786.21231    0  255 3960.56838 2786.21231  29.7%     -   50s
     0     0 2786.28503    0  252 3960.56838 2786.28503  29.6%     -   51s
     0     0 2786.29956    0  252 3960.56838 2786.29956  29.6%     -   52s
     0     0 2786.29956    0  256 3960.56838 2786.29956  29.6%     -   53s
     0     0 2786.41325    0  250 3960.56838 2786.41325  29.6%     -   54s
H    0     0                    3954.4265903 2786.50589  29.5%     -   55s
H    0     0                    3952.4709418 2786.50589  29.5%     -   55s
     0     0 2786.61229    0  259 3952.47094 2786.61229  29.5%     -   56s
     0     0 2786.64250    0  256 3952.47094 2786.64250  29.5%     -   56s
     0     0 2786.64940    0  262 3952.47094 2786.64940  29.5%     -   57s
     0     0 2786.65141    0  262 3952.47094 2786.65141  29.5%     -   58s
     0     0 2786.65148    0  266 3952.47094 2786.65148  29.5%     -   58s
     0     0 2786.69589    0  258 3952.47094 2786.69589  29.5%     -   60s
