
Gurobi 13.0.2 (linux64) logging started Fri Aug 14 04:52:38 2026

Set parameter LogFile to value "/home/23037696r/Documents/research/or_benchmark/wp/results/inactive_0.3/j40/logs/gurobi/j400203_9.log"
Set parameter NumericFocus to value 1
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel Xeon Processor (Cascadelake), instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 46 physical cores, 46 logical processors, using up to 2 threads

Non-default parameters:
TimeLimit  13800
MIPGap  1e-06
NumericFocus  1
Threads  2

Optimize a model with 63642 rows, 13216 columns and 211562 nonzeros (Min)
Model fingerprint: 0x15a938d3
Model has 8796 linear objective coefficients and an objective constant of 1.1829113741661074e+03
Variable types: 1540 continuous, 11676 integer (11480 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [1e-02, 1e+03]
  Bounds range     [1e+00, 2e+02]
  RHS range        [1e+00, 2e+02]

Presolve removed 42089 rows and 4772 columns (presolve time = 5s)...
Presolve removed 45492 rows and 5930 columns (presolve time = 10s)...
Presolve removed 45985 rows and 6057 columns (presolve time = 15s)...
Presolve removed 45985 rows and 6821 columns (presolve time = 22s)...
Presolve removed 46158 rows and 6948 columns (presolve time = 25s)...
Presolve removed 46334 rows and 6961 columns (presolve time = 30s)...
Presolve removed 46334 rows and 6961 columns
Presolve time: 34.87s
Presolved: 17308 rows, 6255 columns, 122713 nonzeros
Variable types: 0 continuous, 6255 integer (4892 binary)
Found heuristic solution: objective 3994.0917835

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    1.3994009e+03   2.562500e+02   0.000000e+00     38s
     732    1.5618577e+03   8.713333e+03   0.000000e+00     40s
    2352    2.1139315e+03   1.762630e+03   0.000000e+00     45s
    4127    2.5798348e+03   4.321332e+01   0.000000e+00     50s
    4244    2.5798342e+03   0.000000e+00   0.000000e+00     51s

Root relaxation: objective 2.579834e+03, 4244 iterations, 12.59 seconds (0.50 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2579.83422    0   82 3994.09178 2579.83422  35.4%     -   53s
     0     0 2582.47643    0   89 3994.09178 2582.47643  35.3%     -   55s
H    0     0                    3993.8920833 2582.47643  35.3%     -   57s
     0     0 2583.72309    0  111 3993.89208 2583.72309  35.3%     -   61s
     0     0 2583.92196    0  114 3993.89208 2583.92196  35.3%     -   63s
     0     0 2583.92200    0  111 3993.89208 2583.92200  35.3%     -   65s
     0     0 2584.45455    0  109 3993.89208 2584.45455  35.3%     -   69s
     0     0 2584.45473    0  118 3993.89208 2584.45473  35.3%     -   71s
     0     0 2584.99200    0  144 3993.89208 2584.99200  35.3%     -   74s
H    0     0                    3992.3696496 2585.03866  35.3%     -   76s
     0     0 2585.03866    0  129 3992.36965 2585.03866  35.3%     -   76s
     0     0 2585.03911    0  147 3992.36965 2585.03911  35.3%     -   77s
     0     0 2585.03913    0  147 3992.36965 2585.03913  35.3%     -   78s
     0     0 2585.65106    0  155 3992.36965 2585.65106  35.2%     -   81s
     0     0 2585.80882    0  135 3992.36965 2585.80882  35.2%     -   84s
     0     0 2585.82988    0  157 3992.36965 2585.82988  35.2%     -   86s
     0     0 2585.83022    0  160 3992.36965 2585.83022  35.2%     -   86s
     0     0 2586.29006    0  180 3992.36965 2586.29006  35.2%     -   89s
     0     0 2586.61728    0  182 3992.36965 2586.61728  35.2%     -   92s
     0     0 2586.64893    0  181 3992.36965 2586.64893  35.2%     -   93s
     0     0 2586.64894    0  186 3992.36965 2586.64894  35.2%     -   94s
     0     0 2587.87273    0  252 3992.36965 2587.87273  35.2%     -  101s
     0     0 2587.93297    0  288 3992.36965 2587.93297  35.2%     -  104s
H    0     0                    3987.4352607 2587.93406  35.1%     -  105s
H    0     0                    3966.8020075 2587.93406  34.8%     -  105s
H    0     0                    3961.9076979 2587.93406  34.7%     -  105s
     0     0 2588.01578    0  292 3961.90770 2588.01578  34.7%     -  108s
     0     0 2588.03547    0  356 3961.90770 2588.03547  34.7%     -  111s
     0     0 2588.03892    0  355 3961.90770 2588.03892  34.7%     -  113s
     0     0 2588.04018    0  308 3961.90770 2588.04018  34.7%     -  115s
     0     0 2588.04552    0  315 3961.90770 2588.04552  34.7%     -  116s
     0     0 2588.04552    0  316 3961.90770 2588.04552  34.7%     -  118s
     0     0 2589.18288    0  182 3961.90770 2589.18288  34.6%     -  124s
     0     0 2589.26564    0  177 3961.90770 2589.26564  34.6%     -  129s
     0     0 2590.79724    0  228 3961.90770 2590.79724  34.6%     -  134s
     0     0 2590.99637    0  267 3961.90770 2590.99637  34.6%     -  136s
     0     0 2591.00905    0  267 3961.90770 2591.00905  34.6%     -  138s
     0     0 2591.01170    0  280 3961.90770 2591.01170  34.6%     -  139s
     0     0 2591.01239    0  281 3961.90770 2591.01239  34.6%     -  140s
     0     0 2591.38980    0  248 3961.90770 2591.38980  34.6%     -  144s
H    0     0                    2677.7725861 2591.54615  3.22%     -  147s
