
Gurobi 13.0.2 (linux64) logging started Fri Aug 14 13:32:23 2026

Set parameter LogFile to value "/home/23037696r/Documents/research/or_benchmark/wp/results/inactive_0.3/j40/logs/gurobi/j400603_8.log"
Set parameter NumericFocus to value 1
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel Xeon Processor (Cascadelake), instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 46 physical cores, 46 logical processors, using up to 2 threads

Non-default parameters:
TimeLimit  13800
MIPGap  1e-06
NumericFocus  1
Threads  2

Optimize a model with 43468 rows, 20062 columns and 153890 nonzeros (Min)
Model fingerprint: 0xeddd62bb
Model has 12372 linear objective coefficients and an objective constant of 1.1972078572990040e+03
Variable types: 4592 continuous, 15470 integer (15274 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [1e-02, 1e+03]
  Bounds range     [1e+00, 2e+02]
  RHS range        [1e+00, 2e+02]

Presolve removed 29611 rows and 7117 columns (presolve time = 5s)...
Presolve removed 31310 rows and 9322 columns (presolve time = 10s)...
Presolve removed 32214 rows and 11686 columns (presolve time = 15s)...
Presolve removed 32193 rows and 11665 columns
Presolve time: 19.54s
Presolved: 11275 rows, 8397 columns, 59665 nonzeros
Variable types: 0 continuous, 8397 integer (5439 binary)
Found heuristic solution: objective 4029.7364710

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    1.5809514e+03   4.721250e+02   0.000000e+00     21s
    3828    2.7150747e+03   0.000000e+00   0.000000e+00     23s

Root relaxation: objective 2.715075e+03, 3828 iterations, 2.22 seconds (0.22 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2715.07470    0  135 4029.73647 2715.07470  32.6%     -   24s
     0     0 2720.51032    0  128 4029.73647 2720.51032  32.5%     -   24s
H    0     0                    2994.2308049 2720.51032  9.14%     -   24s
     0     0 2736.03741    0  159 2994.23080 2736.03741  8.62%     -   28s
     0     0 2738.51513    0  172 2994.23080 2738.51513  8.54%     -   28s
H    0     0                    2935.5673664 2738.51584  6.71%     -   29s
H    0     0                    2935.4726546 2738.51584  6.71%     -   29s
     0     0 2739.12538    0  173 2935.47265 2739.12538  6.69%     -   30s
     0     0 2739.19254    0  205 2935.47265 2739.19254  6.69%     -   30s
     0     0 2739.19254    0  208 2935.47265 2739.19254  6.69%     -   32s
     0     0 2741.95475    0  168 2935.47265 2741.95475  6.59%     -   35s
     0     0 2743.73846    0  245 2935.47265 2743.73846  6.53%     -   36s
     0     0 2744.23401    0  162 2935.47265 2744.23401  6.51%     -   37s
     0     0 2744.23401    0  164 2935.47265 2744.23401  6.51%     -   38s
     0     0 2750.06830    0  160 2935.47265 2750.06830  6.32%     -   41s
     0     0 2750.71791    0  176 2935.47265 2750.71791  6.29%     -   42s
     0     0 2750.72412    0  178 2935.47265 2750.72412  6.29%     -   43s
     0     0 2751.69695    0  232 2935.47265 2751.69695  6.26%     -   45s
H    0     0                    2935.2126719 2751.69731  6.25%     -   46s
     0     0 2751.85710    0  249 2935.21267 2751.85710  6.25%     -   47s
     0     0 2751.88669    0  253 2935.21267 2751.88669  6.25%     -   48s
     0     0 2751.89330    0  248 2935.21267 2751.89330  6.25%     -   49s
     0     0 2751.95413    0  254 2935.21267 2751.95413  6.24%     -   50s
     0     0 2751.97215    0  259 2935.21267 2751.97215  6.24%     -   52s
     0     0 2751.97216    0  260 2935.21267 2751.97216  6.24%     -   53s
     0     0 2752.15516    0  252 2935.21267 2752.15516  6.24%     -   54s
H    0     0                    2934.3852575 2752.15516  6.21%     -   55s
     0     0 2752.15629    0  253 2934.38526 2752.15629  6.21%     -   56s
     0     0 2752.25621    0  240 2934.38526 2752.25621  6.21%     -   58s
     0     0 2753.52167    0  247 2934.38526 2753.52167  6.16%     -   59s
     0     0 2753.52167    0  259 2934.38526 2753.52167  6.16%     -   61s
     0     0 2753.52167    0  256 2934.38526 2753.52167  6.16%     -   63s
     0     0 2753.52167    0  246 2934.38526 2753.52167  6.16%     -   65s
     0     0 2753.52167    0  239 2934.38526 2753.52167  6.16%     -   66s
     0     0 2753.52167    0  239 2934.38526 2753.52167  6.16%     -   67s
     0     0 2753.52167    0  237 2934.38526 2753.52167  6.16%     -   67s
     0     2 2753.52167    0  226 2934.38526 2753.52167  6.16%     -   72s
     5    16 2774.17555    3  211 2934.38526 2774.16094  5.46%   324   75s
    50    56 2774.74747   16  212 2934.38526 2774.16094  5.46%  81.3   80s
    84    92 2775.90661   23  150 2934.38526 2774.16094  5.46%  65.4   86s
   127   121 2776.51043   30  155 2934.38526 2774.16094  5.46%  51.1   90s
   189   168 2786.06488   38  163 2934.38526 2774.16094  5.46%  42.5   95s
   237   208 2791.00394   56  130 2934.38526 2774.18410  5.46%  36.4  101s
   275   250 2791.01816   80  129 2934.38526 2774.18410  5.46%  34.0  105s
   348   303 infeasible  102      2934.38526 2774.18410  5.46%  30.4  110s
   392   325 2842.94968  107  169 2934.38526 2774.22049  5.46%  34.5  115s
