
Gurobi 13.0.2 (linux64) logging started Sat Aug 15 05:53:24 2026

Set parameter LogFile to value "/home/23037696r/Documents/research/or_benchmark/wp/results/inactive_0.4/j30/logs/gurobi/j300404_2.log"
Set parameter NumericFocus to value 1
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel Xeon Processor (Cascadelake), instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 46 physical cores, 46 logical processors, using up to 2 threads

Non-default parameters:
TimeLimit  13800
MIPGap  1e-06
NumericFocus  1
Threads  2

Optimize a model with 15549 rows, 8636 columns and 56156 nonzeros (Min)
Model fingerprint: 0x239b30ef
Model has 5646 linear objective coefficients and an objective constant of 1.1927996635661814e+03
Variable types: 1332 continuous, 7304 integer (7158 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [1e-02, 9e+02]
  Bounds range     [1e+00, 2e+02]
  RHS range        [1e+00, 2e+02]

Presolve removed 11712 rows and 5315 columns
Presolve time: 3.95s
Presolved: 3837 rows, 3321 columns, 25575 nonzeros
Variable types: 0 continuous, 3321 integer (2308 binary)
Found heuristic solution: objective 3261.1320125

Root relaxation: objective 2.491560e+03, 1729 iterations, 0.16 seconds (0.11 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2491.55971    0  108 3261.13201 2491.55971  23.6%     -    4s
     0     0 2496.90135    0  115 3261.13201 2496.90135  23.4%     -    4s
H    0     0                    3260.1739265 2496.90135  23.4%     -    4s
     0     0 2498.99688    0  124 3260.17393 2498.99688  23.3%     -    5s
H    0     0                    3257.4126257 2498.99899  23.3%     -    5s
     0     0 2499.12865    0  166 3257.41263 2499.12865  23.3%     -    5s
     0     0 2499.13362    0  168 3257.41263 2499.13362  23.3%     -    5s
     0     0 2499.13410    0  161 3257.41263 2499.13410  23.3%     -    6s
     0     0 2502.19892    0  179 3257.41263 2502.19892  23.2%     -    6s
     0     0 2502.22259    0  180 3257.41263 2502.22259  23.2%     -    7s
     0     0 2502.24014    0  180 3257.41263 2502.24014  23.2%     -    7s
     0     0 2502.24291    0  175 3257.41263 2502.24291  23.2%     -    7s
     0     0 2502.47860    0  172 3257.41263 2502.47860  23.2%     -    7s
     0     0 2502.65027    0  178 3257.41263 2502.65027  23.2%     -    8s
     0     0 2502.66648    0  180 3257.41263 2502.66648  23.2%     -    8s
     0     0 2502.67074    0  180 3257.41263 2502.67074  23.2%     -    8s
     0     0 2502.67117    0  180 3257.41263 2502.67117  23.2%     -    8s
     0     0 2503.51230    0  193 3257.41263 2503.51230  23.1%     -    9s
     0     0 2503.51995    0  196 3257.41263 2503.51995  23.1%     -    9s
H    0     0                    2613.2170895 2503.52317  4.20%     -   10s
H    0     0                    2612.6637251 2503.52317  4.18%     -   10s
     0     0 2504.21338    0  185 2612.66373 2504.21338  4.15%     -   10s
     0     0 2504.25006    0  193 2612.66373 2504.25006  4.15%     -   10s
     0     0 2504.27557    0  200 2612.66373 2504.27557  4.15%     -   10s
     0     0 2504.28075    0  198 2612.66373 2504.28075  4.15%     -   10s
     0     0 2504.28185    0  200 2612.66373 2504.28185  4.15%     -   11s
     0     0 2504.60388    0  207 2612.66373 2504.60388  4.14%     -   11s
     0     0 2504.60404    0  205 2612.66373 2504.60404  4.14%     -   11s
     0     0 2505.39889    0  235 2612.66373 2505.39889  4.11%     -   12s
     0     0 2505.66498    0  246 2612.66373 2505.66498  4.10%     -   12s
     0     0 2505.66502    0  246 2612.66373 2505.66502  4.10%     -   12s
     0     0 2505.70233    0  237 2612.66373 2505.70233  4.09%     -   12s
     0     0 2505.70235    0  237 2612.66373 2505.70235  4.09%     -   12s
     0     0 2505.72132    0  240 2612.66373 2505.72132  4.09%     -   13s
     0     0 2505.72230    0  237 2612.66373 2505.72230  4.09%     -   13s
     0     0 2508.54850    0  255 2612.66373 2508.54850  3.99%     -   14s
     0     0 2508.68482    0  210 2612.66373 2508.68482  3.98%     -   14s
     0     0 2508.68774    0  216 2612.66373 2508.68774  3.98%     -   14s
     0     0 2509.40299    0  279 2612.66373 2509.40299  3.95%     -   15s
     0     0 2509.61585    0  368 2612.66373 2509.61585  3.94%     -   16s
     0     0 2509.66578    0  288 2612.66373 2509.66578  3.94%     -   16s
     0     0 2509.67331    0  292 2612.66373 2509.67331  3.94%     -   16s
     0     0 2509.67426    0  290 2612.66373 2509.67426  3.94%     -   16s
     0     0 2511.80629    0  354 2612.66373 2511.80629  3.86%     -   17s
     0     0 2511.91084    0  368 2612.66373 2511.91084  3.86%     -   17s
     0     0 2511.92933    0  378 2612.66373 2511.92933  3.86%     -   18s
     0     0 2511.93770    0  380 2612.66373 2511.93770  3.86%     -   18s
     0     0 2511.94482    0  376 2612.66373 2511.94482  3.86%     -   18s
     0     0 2511.94651    0  375 2612.66373 2511.94651  3.85%     -   18s
     0     0 2512.22304    0  299 2612.66373 2512.22304  3.84%     -   19s
H    0     0                    2612.4972473 2512.22385  3.84%     -   19s
