
Gurobi 13.0.2 (linux64) logging started Tue Aug 11 11:46:53 2026

Set parameter LogFile to value "/home/23037696r/Documents/research/or_benchmark/wp/results/inactive_0.2/j20/logs/gurobi/j200402_4.log"
Set parameter NumericFocus to value 1
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel Xeon Processor (Cascadelake), instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 46 physical cores, 46 logical processors, using up to 4 threads

Non-default parameters:
TimeLimit  13800
MIPGap  1e-06
NumericFocus  1
Threads  4

Optimize a model with 10861 rows, 5492 columns and 38672 nonzeros (Min)
Model fingerprint: 0x6aa03592
Model has 3536 linear objective coefficients and an objective constant of 4.9265985885425886e+02
Variable types: 976 continuous, 4516 integer (4412 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [1e-02, 7e+02]
  Bounds range     [1e+00, 1e+02]
  RHS range        [1e+00, 1e+02]

Presolve removed 7735 rows and 2973 columns
Presolve time: 0.45s
Presolved: 3126 rows, 2519 columns, 22662 nonzeros
Variable types: 3 continuous, 2516 integer (1751 binary)
Found heuristic solution: objective 2153.7774946

Root relaxation: objective 1.432690e+03, 892 iterations, 0.05 seconds (0.05 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1432.68976    0   48 2153.77749 1432.68976  33.5%     -    0s
H    0     0                    1498.9496148 1432.68976  4.42%     -    0s
     0     0 1436.38288    0   79 1498.94961 1436.38288  4.17%     -    0s
H    0     0                    1497.9046660 1436.38436  4.11%     -    0s
H    0     0                    1496.9163340 1436.52296  4.03%     -    0s
     0     0 1436.52296    0   75 1496.91633 1436.52296  4.03%     -    0s
     0     0 1437.71026    0   78 1496.91633 1437.71026  3.96%     -    0s
     0     0 1437.74543    0   83 1496.91633 1437.74543  3.95%     -    0s
     0     0 1438.28376    0   85 1496.91633 1438.28376  3.92%     -    0s
     0     0 1438.56018    0  167 1496.91633 1438.56018  3.90%     -    0s
     0     0 1438.68057    0  222 1496.91633 1438.68057  3.89%     -    1s
     0     0 1438.68121    0  221 1496.91633 1438.68121  3.89%     -    1s
     0     0 1438.68188    0  221 1496.91633 1438.68188  3.89%     -    1s
     0     0 1438.68260    0  221 1496.91633 1438.68260  3.89%     -    1s
     0     0 1438.68336    0  221 1496.91633 1438.68336  3.89%     -    1s
     0     0 1438.68418    0  221 1496.91633 1438.68418  3.89%     -    1s
     0     0 1438.68505    0  221 1496.91633 1438.68505  3.89%     -    1s
     0     0 1438.68597    0  221 1496.91633 1438.68597  3.89%     -    1s
     0     0 1438.68695    0  220 1496.91633 1438.68695  3.89%     -    1s
     0     0 1438.68929    0  223 1496.91633 1438.68929  3.89%     -    1s
     0     0 1438.79750    0  299 1496.91633 1438.79750  3.88%     -    1s
     0     0 1438.79793    0  289 1496.91633 1438.79793  3.88%     -    1s
     0     0 1440.61853    0  283 1496.91633 1440.61853  3.76%     -    1s
     0     0 1440.61853    0   57 1496.91633 1440.61853  3.76%     -    1s
     0     0 1440.61853    0  224 1496.91633 1440.61853  3.76%     -    1s
     0     0 1441.51270    0  188 1496.91633 1441.51270  3.70%     -    2s
     0     0 1442.02656    0  150 1496.91633 1442.02656  3.67%     -    2s
     0     0 1442.05457    0  184 1496.91633 1442.05457  3.66%     -    2s
     0     0 1442.06844    0  184 1496.91633 1442.06844  3.66%     -    2s
     0     0 1442.08619    0  186 1496.91633 1442.08619  3.66%     -    2s
     0     0 1442.11383    0  187 1496.91633 1442.11383  3.66%     -    2s
     0     0 1442.11383    0  186 1496.91633 1442.11383  3.66%     -    2s
     0     0 1444.75483    0  152 1496.91633 1444.75483  3.48%     -    2s
     0     0 1445.93670    0  147 1496.91633 1445.93670  3.41%     -    2s
H    0     0                    1496.5935608 1446.04087  3.38%     -    2s
H    0     0                    1494.7691857 1446.04087  3.26%     -    2s
     0     0 1446.04087    0  155 1494.76919 1446.04087  3.26%     -    2s
     0     0 1446.04606    0  155 1494.76919 1446.04606  3.26%     -    2s
     0     0 1446.04606    0  155 1494.76919 1446.04606  3.26%     -    2s
     0     0 1447.76322    0  159 1494.76919 1447.76322  3.14%     -    2s
     0     0 1447.84438    0  154 1494.76919 1447.84438  3.14%     -    2s
     0     0 1447.87689    0  156 1494.76919 1447.87689  3.14%     -    2s
     0     0 1447.88015    0  160 1494.76919 1447.88015  3.14%     -    2s
     0     0 1447.88179    0  159 1494.76919 1447.88179  3.14%     -    2s
     0     0 1448.79090    0  158 1494.76919 1448.79090  3.08%     -    2s
     0     0 1448.88816    0  161 1494.76919 1448.88816  3.07%     -    2s
     0     0 1448.89091    0  163 1494.76919 1448.89091  3.07%     -    2s
     0     0 1449.02490    0  179 1494.76919 1449.02490  3.06%     -    2s
     0     0 1449.06378    0  183 1494.76919 1449.06378  3.06%     -    2s
     0     0 1449.06447    0  180 1494.76919 1449.06447  3.06%     -    2s
     0     0 1449.33600    0  170 1494.76919 1449.33600  3.04%     -    2s
