
Gurobi 13.0.2 (linux64) logging started Sun Aug 16 01:47:25 2026

Set parameter LogFile to value "/home/23037696r/Documents/research/or_benchmark/wp/results/inactive_0.5/j40/logs/gurobi/j400405_10.log"
Set parameter NumericFocus to value 1
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel Xeon Processor (Cascadelake), instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 46 physical cores, 46 logical processors, using up to 2 threads

Non-default parameters:
TimeLimit  13800
MIPGap  1e-06
NumericFocus  1
Threads  2

Optimize a model with 19416 rows, 12030 columns and 70298 nonzeros (Min)
Model fingerprint: 0x8615e673
Model has 7460 linear objective coefficients and an objective constant of 1.8690985026513856e+03
Variable types: 2000 continuous, 10030 integer (9842 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [1e-02, 9e+02]
  Bounds range     [1e+00, 2e+02]
  RHS range        [1e+00, 2e+02]

Presolve removed 15520 rows and 7449 columns
Presolve time: 4.88s
Presolved: 3896 rows, 4581 columns, 23435 nonzeros
Variable types: 0 continuous, 4581 integer (3236 binary)
Found heuristic solution: objective 3992.2896820

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    2.1732056e+03   2.901250e+02   0.000000e+00      5s
    2115    3.0645327e+03   0.000000e+00   0.000000e+00      5s

Root relaxation: objective 3.064533e+03, 2115 iterations, 0.17 seconds (0.09 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 3064.53266    0  138 3992.28968 3064.53266  23.2%     -    5s
     0     0 3071.75315    0  134 3992.28968 3071.75315  23.1%     -    5s
     0     0 3071.88441    0  128 3992.28968 3071.88441  23.1%     -    5s
     0     0 3071.89491    0  128 3992.28968 3071.89491  23.1%     -    6s
     0     0 3071.90623    0  125 3992.28968 3071.90623  23.1%     -    6s
H    0     0                    3209.7909092 3071.90623  4.30%     -    6s
H    0     0                    3187.6981427 3071.90623  3.63%     -    6s
     0     0 3084.73213    0  249 3187.69814 3084.73213  3.23%     -    7s
     0     0 3085.18169    0  244 3187.69814 3085.18169  3.22%     -    7s
     0     0 3085.32354    0  195 3187.69814 3085.32354  3.21%     -    7s
     0     0 3085.39379    0  227 3187.69814 3085.39379  3.21%     -    8s
     0     0 3085.39435    0  227 3187.69814 3085.39435  3.21%     -    8s
     0     0 3085.39540    0  229 3187.69814 3085.39540  3.21%     -    8s
     0     0 3089.77136    0  229 3187.69814 3089.77136  3.07%     -    9s
H    0     0                    3186.4309246 3089.77519  3.03%     -    9s
H    0     0                    3186.1205094 3089.77519  3.02%     -    9s
H    0     0                    3185.2565170 3089.77519  3.00%     -    9s
     0     0 3091.93794    0  215 3185.25652 3091.93794  2.93%     -    9s
     0     0 3091.93842    0  215 3185.25652 3091.93842  2.93%     -   10s
     0     0 3091.93918    0  215 3185.25652 3091.93918  2.93%     -   10s
     0     0 3091.94022    0  215 3185.25652 3091.94022  2.93%     -   10s
     0     0 3092.40458    0  220 3185.25652 3092.40458  2.92%     -   10s
     0     0 3092.45071    0  225 3185.25652 3092.45071  2.91%     -   10s
     0     0 3092.45173    0  229 3185.25652 3092.45173  2.91%     -   10s
     0     0 3101.45542    0  207 3185.25652 3101.45542  2.63%     -   11s
H    0     0                    3184.2656462 3101.45585  2.60%     -   12s
     0     0 3102.17098    0  203 3184.26565 3102.17098  2.58%     -   12s
     0     0 3102.21138    0  204 3184.26565 3102.21138  2.58%     -   12s
     0     0 3102.28984    0  213 3184.26565 3102.28984  2.57%     -   13s
     0     0 3102.29459    0  210 3184.26565 3102.29459  2.57%     -   13s
     0     0 3103.75700    0  202 3184.26565 3103.75700  2.53%     -   14s
     0     0 3104.22274    0  204 3184.26565 3104.22274  2.51%     -   14s
     0     0 3107.68326    0  213 3184.26565 3107.68326  2.41%     -   14s
     0     0 3108.20183    0  209 3184.26565 3108.20183  2.39%     -   15s
     0     0 3108.32609    0  212 3184.26565 3108.32609  2.38%     -   15s
     0     0 3108.47932    0  222 3184.26565 3108.47932  2.38%     -   15s
     0     0 3108.52911    0  227 3184.26565 3108.52911  2.38%     -   16s
     0     0 3108.53003    0  236 3184.26565 3108.53003  2.38%     -   16s
     0     0 3109.97359    0  220 3184.26565 3109.97359  2.33%     -   17s
     0     0 3110.12336    0  232 3184.26565 3110.12336  2.33%     -   17s
     0     0 3110.12350    0  233 3184.26565 3110.12350  2.33%     -   17s
     0     0 3110.20404    0  231 3184.26565 3110.20404  2.33%     -   18s
     0     0 3110.20511    0  235 3184.26565 3110.20511  2.33%     -   18s
     0     0 3110.83756    0  206 3184.26565 3110.83756  2.31%     -   18s
     0     0 3111.37130    0  206 3184.26565 3111.37130  2.29%     -   19s
     0     0 3111.37130    0  201 3184.26565 3111.37130  2.29%     -   19s
     0     0 3111.37130    0  209 3184.26565 3111.37130  2.29%     -   20s
     0     0 3111.37130    0  222 3184.26565 3111.37130  2.29%     -   20s
     0     0 3111.37130    0  222 3184.26565 3111.37130  2.29%     -   20s
