实例ID,最优目标值,任务开始时间
j301_1,43,"[0,4,0,0,20,33,4,4,12,6,12,13,4,16,22,13,23,10,13,26,29,29,36,38,38,21,15,33,19,41,41,43]"
j301_2,47,"[0,0,0,0,10,11,7,18,10,2,13,7,14,23,32,14,13,26,14,25,36,7,33,29,25,24,38,35,40,39,38,47]"
j301_3,47,"[0,0,0,0,10,1,1,5,5,23,13,5,18,25,6,30,21,19,33,1,29,36,28,23,40,44,27,28,46,45,38,47]"
j301_4,62,"[0,0,27,0,10,3,9,17,25,24,34,34,18,3,9,38,51,34,20,43,35,24,31,24,43,47,20,50,52,53,45,62]"
j301_5,39,"[0,8,0,0,4,5,10,4,12,7,14,16,21,5,18,5,15,13,17,29,27,26,22,31,20,28,7,36,32,37,38,39]"
j301_6,48,"[0,0,12,0,10,9,15,11,28,11,13,10,12,27,13,20,16,28,24,38,14,21,13,36,33,41,19,26,47,37,38,48]"
j301_7,60,"[0,0,0,0,2,3,7,49,18,10,6,18,16,45,41,21,29,10,47,36,29,32,44,44,44,34,44,49,55,52,54,60]"
j301_8,53,"[0,0,0,0,3,12,25,6,20,3,8,34,35,10,35,20,10,25,22,20,35,35,25,31,25,35,44,36,45,44,43,53]"
j301_9,49,"[0,0,0,0,7,15,5,11,18,5,30,21,20,28,15,32,10,22,25,3,20,29,41,20,33,39,39,40,48,45,46,49]"
j301_10,45,"[0,0,0,0,4,27,4,5,14,17,10,17,18,18,22,18,27,17,22,6,23,3,20,31,28,31,34,35,39,33,44,45]"
j302_1,38,"[0,0,0,0,6,2,5,2,2,6,17,14,7,9,9,23,7,21,17,9,21,27,25,11,35,25,23,29,28,37,37,38]"
j302_2,51,"[0,0,0,0,5,12,3,3,5,11,32,12,16,11,7,8,11,12,15,19,22,21,32,42,22,17,33,32,22,41,45,51]"
j302_3,43,"[0,0,0,0,9,4,9,14,19,4,34,15,20,14,11,23,32,9,14,34,24,29,21,19,36,30,30,28,40,33,35,43]"
j302_4,43,"[0,0,0,0,2,9,16,16,8,25,11,8,2,22,14,9,22,9,16,32,9,39,16,33,22,29,25,29,36,34,42,43]"
